"지역","연령(만)","성별","신장","체중","BMI","체지방률","허리둘레","윗몸일으키기","악력(D)","악력(ND)","제자리멀리뛰기","20m 왕복오래달리기","좌전굴","10m 왕복달리기","연령집단"
1,30,1,175.8,85.9,27.7942796201599,33.8,96,36,37.5,40.4,176,27,6.9,12.11,3
1,30,1,178.2,73.9,23.2717497962541,13.7,81.3,61,47.3,47.7,231,92,25.8,9.2,3
1,30,1,178.9,61.7,19.2781112825068,8.3,77,36,34.1,32.9,205,40,-1.4,11.6,3
1,30,1,187.7,88.9,25.2332514648201,19,86,57,50.4,41.6,234,55,-2.1,9.36,3
1,30,2,151.8,53.5,23.2172211893814,36.1,81.2,22,20.8,20.6,139,14,23.5,15.85,3
1,30,2,158,43.9,17.6,21.4,67,33,26.5,23.2,140,34,26.5,14.6,3
1,30,2,164.1,62.32,23.1425005412419,23.3,74.6,27,27.1,26.2,166,41,18.2,11.9,3
1,30,2,171,60.88,20.8200813925652,28,74.4,30,26.4,23.1,164,20,7.5,13.29,3
1,31,1,164.5,61,22.5,17.4,67,50,50.4,41.9,210,42,16.6,10.74,3
1,31,1,164.5,61,22.5422898901525,17.4,78.5,50,50.4,41.9,210,42,16.6,10.74,3
1,31,1,171,81.22,27.7760678499367,27.2,95.6,44,35.6,32.2,186,33,11.5,11.07,3
1,31,1,171.2,85.3,29.103251375666,22.4,95.4,56,60,53.3,223,49,17.6,9.7,3
1,31,1,171.8,71.3,24.1570117674801,24.1,84,63,39.9,42.9,225,57,-3.2,9.93,3
1,31,1,172.8,79.9,26.8,25.5,89.9,31,48.9,48.9,190,23,4.1,11.31,3
1,31,1,173,72.6,24.2574092017775,24.9,91.8,30,40.2,30.6,185.1,30,12.6,12.01,3
1,31,1,174.5,75.1,24.6631801052536,19.7,83.7,50,48.6,51.7,238,60,20.2,9.61,3
1,31,1,175.8,81.9,26.500017472539,25.5,92.6,57,44.4,38.9,170.2,44,2.3,12.35,3
1,31,1,183.4,81.98,24.3730147498659,21.9,88.4,41,30.8,30.3,189,23,-6,11.86,3
1,31,2,155.2,54.9,22.7923397810607,32.7,82.2,25,27.3,22.3,132,8,25.4,14.44,3
1,31,2,156.5,48.16,19.6633629005093,18.8,66.7,41,22,24.8,165,31,19.6,12.3,3
1,31,2,158,51.1,20.4694760455055,26.6,79.2,32,28.8,30,145,21,17.5,13.41,3
1,31,2,160.3,49.2,19.1468818796945,21.1,64,47,22.3,29.1,144,30,17.1,13.25,3
1,31,2,161.2,55.48,21.4,33.3,72.6,27,21.7,20.3,157,47,7.7,12.91,3
1,31,2,162,59.7,22.7,28.1,79.8,26,24.1,27.7,162,35,25.3,12.16,3
1,31,2,162.7,59.2,22.363851553891,27.9,81,49,32.7,30.3,193,41,22.8,10.92,3
1,31,2,163.1,59.3,22.3,31.5,78.4,41,23.3,28.3,183,23,27.3,12.43,3
1,31,2,168.1,54.6,19.3,23,72.2,31,25.2,25.4,130,25,11.9,14.23,3
